확장 대상 192개사, 최근 [2024, 2025] 개년만
  30121 자동차 제조업(완성차): 2개사
  303 자동차 부품 제조업: 91개사
  212 완제 의약품 제조업: 99개사
[적재] 청보 FY2024: KAM 섹션 854자
[적재] 청보 FY2025: KAM 섹션 1129자
[적재] 체시스 FY2024: KAM 섹션 975자
[적재] 체시스 FY2025: KAM 섹션 975자
[적재] 캐스텍코리아 FY2024: KAM 섹션 655자
[적재] 캐스텍코리아 FY2025: KAM 섹션 1022자
[적재] 케이비아이동국실업 FY2024: KAM 섹션 1090자
[적재] 케이비아이동국실업 FY2025: KAM 섹션 1096자
[적재-KAM없음] 케이엔더블유 FY2024: 핵심감사사항 섹션 못 찾음
[적재] 케이엔더블유 FY2025: KAM 섹션 1066자
[적재-KAM없음] 코다코 FY2024: 핵심감사사항 섹션 못 찾음
[적재-KAM없음] 코다코 FY2025: 핵심감사사항 섹션 못 찾음
[적재] 코리아에프티 FY2024: KAM 섹션 653자
[적재] 코리아에프티 FY2025: KAM 섹션 642자
[적재] 태양금속공업 FY2024: KAM 섹션 1209자
[적재] 태양금속공업 FY2025: KAM 섹션 1168자
[적재] 태원물산 FY2024: KAM 섹션 608자
[적재] 태원물산 FY2025: KAM 섹션 608자
[적재] 티피씨글로벌 FY2024: KAM 섹션 845자
[적재] 티피씨글로벌 FY2025: KAM 섹션 707자
[적재] 평화산업 FY2024: KAM 섹션 775자
[적재] 평화산업 FY2025: KAM 섹션 730자
[적재] 평화홀딩스 FY2024: KAM 섹션 1120자
[적재] 평화홀딩스 FY2025: KAM 섹션 1136자
[적재] 폴라리스세원 FY2024: KAM 섹션 766자
[적재] 폴라리스세원 FY2025: KAM 섹션 747자
[적재] 피에이치에이 FY2024: KAM 섹션 692자
[적재] 피에이치에이 FY2025: KAM 섹션 699자
[적재] 한국무브넥스 FY2024: KAM 섹션 769자
[적재] 한국무브넥스 FY2025: KAM 섹션 780자
[적재-KAM없음] 한국피아이엠 FY2024: 핵심감사사항 섹션 못 찾음
[적재] 한국피아이엠 FY2025: KAM 섹션 565자
[스킵] 한라캐스트 FY2024: 사업보고서(12월 결산) 없음
[적재] 한라캐스트 FY2025: KAM 섹션 737자
